Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,06-Feb,180,Texas,7730337
Jae Crowder,Boston Celtics,,SF,25,06-Jun,235,,6796117
John Holland,,30,SG,27,06-May,205,Boston University,

R.J. Hunter,Boston Celtics,28,SG,22,06-May,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,29,06-Oct,231,,5000000
Amir Johnson,Boston Celtics,90,,29,06-Sep,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,21,06-Aug,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,25,7-0,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,22,06-Feb,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,22,06-Apr,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,,C,24,06-Sep,260,Ohio State,2569260
